Feature_gene_name,Feature_length,NoTreat_1,NoTreat_2,NoTreat_3,NoTreat_4,Treat_1,Treat_2,Treat_3,Treat_4
NRP1,11522,38367,41629,28298,37895,24661,24229,22378,24333
PRTFDC1,2324,523,608,456,603,416,447,457,396
PALMD,8074,9242,9382,7919,9303,1883,1775,1758,1869
TSPAN15,2651,4060,4284,3658,4301,2602,2376,2336,2694
MACROH2A2,14988,1,1,3,2,2,3,3,7
WASHC2A,5162,3108,3178,2591,2967,4519,4100,3730,3980
MAST3,6772,175,145,110,131,273,213,205,284
MZF1,6654,656,665,545,603,892,503,548,638
OCEL1,1858,371,385,348,288,396,367,299,355
MYO9B,9952,8810,9445,7306,8887,10874,10089,8835,9502
KCNK6,6168,1998,1945,1765,1837,829,701,619,778
CATSPERG,9190,28,29,24,24,25,30,14,17
PSMD8,3091,5490,5240,4820,5462,5001,4593,4260,4754
FBXL19,4865,3300,3204,2656,3075,3212,2745,2545,2628
STX1B,5206,12,5,5,13,31,22,20,22
HSD3B7,2490,71,70,62,66,67,90,55,56
SETD1A,6526,2122,2137,1580,1928,1756,1521,1319,1450
BCL7C,3740,1468,1554,1484,1547,749,742,679,775
MAGEB2,1607,1,1,1,3,9,10,11,8
EFNA2,2424,1,1,0,2,0,0,0,1
CIRBP,6368,8034,8004,6503,8168,9340,6105,5738,6389
ATP5F1D,2249,2840,2777,2572,2835,2099,1928,1774,1898
CBARP,4591,491,472,414,461,845,555,497,628
IGFALS,2332,0,1,0,4,3,0,2,2
HNRNPM,5614,16142,16487,14292,16371,11716,10412,10073,10954
MARCHF2,2216,1784,1827,1635,1715,1305,1094,982,1212
NDUFB7,535,2314,2239,2294,2250,1724,1698,1540,1746
TECR,5899,2224,2079,1893,2052,1376,1135,1114,1238
TIMM13,1664,2743,2537,2281,2529,1568,1437,1467,1509
CDC34,1894,3141,2967,2802,2997,2500,2575,2375,2450
MTAP,14527,2152,2136,1720,2068,1516,1370,1271,1511
MISP,2980,0,0,0,2,0,3,0,1
CEP170B,7211,4416,4564,3422,4374,4588,3720,3231,3828
POLR2E,4870,7457,7347,6771,7383,5131,4377,4306,4641
POLRMT,5060,2301,2325,2105,2304,2021,1582,1534,1715
HCN2,3420,41,32,41,28,31,29,30,50
CDHR5,3861,3,9,0,2,2,1,0,1
IZUMO4,2770,29,43,48,44,75,25,26,46
RASSF7,2514,488,424,450,488,522,389,327,411
GADD45B,2138,961,944,829,928,1319,1047,965,1088
PALM,4912,198,241,216,225,2,3,12,6
MADCAM1,2453,6,10,15,10,29,13,9,17
MKNK2,5221,8320,8774,6829,8359,3814,3335,3114,3456
ARVCF,5636,3526,3456,2938,3422,2751,1899,1905,2251
TRMT2A,3954,1491,1345,1305,1509,1676,1318,1203,1311
RANBP1,4620,6013,6112,6082,6331,3772,3449,3466,3474
ZDHHC8,5545,3565,3633,3041,3561,3577,2647,2452,2749
KLHL22,4607,1215,1325,1149,1187,973,813,759,813
MED15,10374,4529,4711,3698,4460,7883,6311,5610,6253
SERPIND1,2319,3753,4106,3742,4438,4149,3852,3573,3853
SNAP29,4925,1669,1686,1406,1567,1379,1446,1335,1368
CRKL,5342,3390,3764,2728,3503,2629,2444,2268,2435
LZTR1,8673,1284,1194,1149,1240,1443,960,914,1056
MMP11,5149,398,417,350,377,157,142,153,138
CECR2,10667,455,534,306,463,573,531,434,486
SMARCB1,16526,3426,3573,3053,3484,2178,2018,1898,2142
P2RX6,4730,2,0,0,0,0,0,0,0
DERL3,3796,14,13,20,27,22,19,15,10
BCL2L13,7662,3596,3654,2987,3574,6116,5810,5270,5138
DDTL,1582,60,53,67,64,66,38,48,62
DDT,1410,2,0,2,1,1,5,3,1
OSM,2125,0,0,1,0,0,0,1,2
CABIN1,9388,5098,5508,3940,4978,3201,2870,2601,2794
TBC1D10A,6948,475,508,389,467,874,681,688,775
SUSD2,5047,9,9,2,6,13,4,3,4
SF3A1,6301,5720,6127,4445,5635,3948,3883,3509,3712
GGT5,6020,2283,2337,1831,2134,1172,893,782,848
RNF215,10643,1076,943,824,899,1189,832,771,895
SEC14L2,5887,1100,1115,952,1271,861,776,753,784
SEC14L3,3631,0,0,0,0,0,1,0,0
SPECC1L,7461,2204,2249,1895,2308,1769,1639,1414,1557
PPIL2,13915,2037,2138,1617,2163,2294,1752,1589,1838
UPB1,6793,33,29,13,18,39,21,23,22
YPEL1,4681,268,312,214,289,73,59,48,67
SNRPD3,3914,1714,1828,1403,1766,781,741,698,767
PES1,4527,5575,5559,5108,5564,4430,4113,3926,4276
MAPK1,6179,11982,12305,8794,12237,9294,8951,8435,8946
GGT1,4375,3,0,0,2,9,7,1,3
PRODH,8714,38,35,37,55,1,5,8,5
PPM1F,10089,16460,16888,13804,17311,10899,8843,8784,9741
SLC35E4,5402,2370,2380,2056,2333,1121,1050,921,1128
TOP3B,6638,23,17,5,20,25,18,16,20
CRYBB3,855,10,16,12,7,7,3,0,2
CYTH4,6099,52,52,60,62,270,199,173,215
ESS2,6003,1136,1161,1000,1188,1075,886,862,846
MFNG,3034,8727,8715,7470,8703,4012,3487,3323,3395
CARD10,5754,6122,6095,4945,6002,2005,1743,1531,1784
SLC25A1,1999,3154,2926,2873,3032,2724,2559,2366,2633
GRK3,9477,63,42,34,55,9,30,18,9
PLA2G3,2600,0,3,0,8,1,1,0,0
LGALS2,833,19,33,19,26,11,10,9,7
GGA1,9119,1757,1762,1520,1809,2495,1803,1607,1812
HIRA,4299,689,665,673,667,1369,1104,998,1037
SH3BP1,4890,3,2,3,2,11,5,10,6
LGALS1,1067,51477,52814,51099,53664,56592,53909,51378,57107
HPS4,11380,1633,1654,1251,1600,1803,1458,1264,1547
PIK3IP1,3804,535,620,458,512,159,140,123,166
SRRD,4319,740,694,566,722,637,565,531,534
PATZ1,5807,1628,1704,1388,1729,1300,1165,1020,1021
TRIOBP,12189,11168,11384,9595,11408,7613,6355,6028,7061
TFIP11,5436,1894,1913,1439,1782,1951,1767,1564,1700
GCAT,2102,673,629,564,666,325,268,298,296
ANKRD54,4390,1658,1634,1396,1659,1165,1132,912,1100
EIF3L,4296,8586,8862,6753,8538,3186,3046,2946,3282
SNU13,2927,4008,3725,3386,3709,2610,2426,2193,2432
MICALL1,7015,5817,6067,4811,5807,7842,7452,6551,6941
POLR2F,7008,1712,1849,1714,1742,1283,1308,1252,1270
SOX10,4087,1,3,3,1,0,0,1,4
CCDC134,7135,509,593,345,519,521,463,436,419
DEPDC5,17927,449,451,333,426,415,373,346,364
PICK1,4371,517,622,599,605,772,615,540,606
TTC28,12645,3212,4016,2093,2991,1844,1906,1660,1703
SLC16A8,2212,10,7,11,9,19,12,14,18
CENPM,1750,518,426,504,458,158,105,116,138
SEPTIN3,7153,7,7,7,8,6,5,1,4
SLC5A1,5081,0,0,0,0,0,0,1,0
SLC5A4,2048,111,113,68,88,49,30,31,46
KDELR3,1913,479,498,430,490,531,487,443,518
CYP2D6,2345,20,21,20,19,20,15,8,13
DDX17,9997,23189,24311,16005,23135,24517,18998,17493,19691
DMC1,3443,28,21,28,35,29,14,22,22
TCF20,9512,2008,2180,1497,1976,3478,3198,2821,2978
HSCB,1454,375,345,323,315,369,375,308,308
CBY1,2348,917,882,789,904,505,482,472,503
TOMM22,2182,3863,4125,3696,3927,2156,2370,2212,2305
RSPH14,2333,3,0,0,3,1,1,2,0
XBP1,3028,4515,4326,3865,4448,7036,6703,5912,6201
RTCB,2941,4918,4928,4003,4769,3818,3489,3285,3543
JOSD1,4327,5333,5834,4402,5796,4479,4146,4017,4097
FBXO7,8521,4015,4118,3393,4206,4755,4297,3973,3847
GTPBP1,8021,2282,2312,1610,2274,6799,5504,4818,5081
POLDIP3,3650,4524,4370,3618,4411,3823,3305,3137,3316
RAB36,5380,147,128,111,150,217,175,138,192
TIMP3,4597,0,1,0,0,1,0,2,0
PPP6R2,5349,3245,3152,2677,3039,3612,2869,2702,3055
SBF1,9452,6314,6059,4748,5949,6475,5329,4896,5439
SUN2,6489,5775,5766,4768,5857,4433,3202,3222,3668
CYB5R3,5797,16350,16786,13863,16798,14858,13912,13103,14504
DNAL4,2430,525,573,468,542,466,450,411,473
MIOX,1796,0,1,2,1,13,8,6,6
LMF2,3065,4740,4586,3798,4637,6268,4785,4606,5112
RHBDD3,2997,1316,1274,1109,1338,1889,1426,1473,1554
PACSIN2,4558,8706,9119,7432,8941,6297,5737,5327,6007
TTLL1,1868,375,394,357,418,415,379,378,426
RASL10A,2181,200,196,196,244,117,91,80,114
AP1B1,6555,12052,12017,9569,11924,10560,9470,8928,9613
HMGXB4,6006,1538,1500,1180,1576,1429,1451,1144,1391
TOM1,5869,1451,1498,1292,1490,1471,1330,1232,1400
NEFH,3795,161,174,140,150,163,125,122,124
CHKB,2866,57,34,39,68,107,63,72,90
BIK,951,5,7,2,3,36,31,27,30
HMOX1,2306,4186,3811,3257,3467,4731,4244,4040,4646
MCAT,2389,630,544,578,603,556,493,453,469
THOC5,7878,2171,2045,1697,2059,1588,1250,1236,1334
MCM5,7268,6220,5954,5321,6333,3633,3397,2934,3184
APOBEC3H,1251,3,0,0,1,0,1,2,1
ARSA,4501,2016,1752,1520,1869,3460,2738,2463,2639
TSPO,1422,5919,5811,5586,5983,7028,6319,5565,6442
RASD2,3447,1,4,0,0,1,0,0,0
TTLL12,4623,2652,2699,2222,2821,1517,1348,1218,1396
CBX7,7467,386,316,240,416,340,257,253,238
PDGFB,3992,8757,8711,7542,8822,19108,18057,16551,17486
ACR,2064,28,25,20,16,13,10,6,15
CABP7,3334,6,1,2,5,2,7,2,0
RPL3,4710,72336,73621,65288,71933,31415,27662,27299,32062
ZMAT5,3200,403,411,417,430,333,285,306,289
RBFOX2,10413,12458,13399,9151,12629,10363,9760,9315,9705
SYNGR1,6940,84,89,59,87,47,60,36,28
TAB1,4419,1535,1742,1317,1649,1539,1285,1260,1293
ASCC2,5415,2395,2626,2160,2466,2099,1968,1759,1960
MTMR3,9891,191,256,198,231,174,147,183,161
MIEF1,7555,2411,2549,1916,2559,2124,1934,1723,1931
APOL4,4420,199,208,151,173,9,2,7,11
APOL1,3458,2458,2530,2182,2440,16171,15073,13179,12921
PNPLA3,3193,23,28,28,37,113,131,106,142
MYH9,8909,164062,184703,140796,167221,128448,129579,111441,121976
CACNA1I,10790,1,2,0,3,263,173,145,108
SAMM50,6410,2241,2107,1874,2299,1407,1379,1189,1353
TXN2,1650,3371,3270,2860,3221,1936,1767,1657,1849
FOXRED2,5519,1250,1355,993,1238,766,749,680,763
GRAP2,6188,4,1,3,3,9,13,1,3
EIF3D,3813,9605,9667,8176,9641,6406,5770,5278,6100
TNRC6B,19998,1721,1944,1177,1640,1627,1698,1408,1541
SGSM3,4770,122,109,95,96,152,90,66,92
IFT27,8009,639,653,540,682,777,625,567,565
KIAA0930,8238,5350,5187,4255,5268,4855,4289,3950,4355
NCF4,2239,1,6,6,0,64,50,58,44
CSF2RB,4990,2896,2891,1929,2687,11500,9827,9307,10404
SLC25A17,3989,998,883,794,966,849,763,620,720
FAM118A,6425,2645,2452,2014,2538,5608,3043,2860,3380
KCTD17,2786,2299,2296,1931,2166,2180,1789,1654,1714
ST13,3764,16569,17355,14160,16311,12085,11543,10380,11349
IL2RB,4621,5,5,7,5,4,14,6,4
RBX1,3092,1977,1974,1979,2004,1759,1933,1757,1777
EP300,11692,3183,3784,2001,2873,3117,3426,2786,2964
L3MBTL2,6374,1558,1564,1412,1636,1313,1038,1052,1210
CHADL,2596,36,46,45,53,20,17,15,18
RANGAP1,6116,9705,9988,8368,9876,24551,21545,20067,21719
ZC3H7B,10522,9913,10599,8090,10505,28546,24781,23521,25858
PHF5A,1202,1691,1440,1360,1584,1079,1163,942,1080
ACO2,11812,3283,3215,2578,3248,2783,2436,2426,2605
POLR3H,6599,1474,1531,1281,1546,1162,1006,1013,1074
TRMU,9219,1768,1649,1481,1751,1624,1057,1060,1127
PMM1,5057,247,279,219,243,346,275,256,291
DESI1,4919,3295,3387,2713,3512,6658,5978,5525,5900
CERK,4930,7543,7730,6005,7688,2919,2504,2391,2866
BRD1,5850,1762,2005,1484,1927,1777,1449,1383,1539
ZBED4,6893,1748,1903,1251,1875,1366,1226,1129,1252
MLC1,3821,13,25,15,30,2,3,0,8
HDAC10,4951,151,189,118,161,271,135,124,126
KCNK10,8278,0,0,2,0,0,4,3,4
ABHD4,4070,2300,2193,1907,2158,1924,1726,1600,1687
KHNYN,8024,2897,3084,2226,2963,3657,2998,2769,2931
FKBP3,2263,3655,3921,3430,3480,3568,3328,3098,3281
SDR39U1,3072,302,317,224,321,339,242,231,272
CTSG,1368,0,1,0,0,0,0,0,0
GZMH,951,0,0,1,0,0,2,1,0
GZMB,1411,0,0,0,0,1,1,0,3
RBM23,14022,2990,3139,2553,3165,2809,2404,2219,2512
PRMT5,3276,1712,1724,1467,1798,1460,1303,1219,1440
COCH,4031,16,18,18,17,19,16,19,14
AP4S1,10076,748,725,669,742,462,474,403,426
POLE2,2955,402,450,325,418,156,133,136,190
VCPKMT,2055,219,240,201,258,181,176,138,181
SOS2,6948,2347,2680,1760,2496,2532,2301,2142,2331
CDKL1,9288,370,408,265,397,299,290,254,263
NIN,13820,6614,7713,4410,6662,7687,7511,6787,7578
PYGL,4546,2765,3010,2453,2907,1399,1294,1280,1371
TRIM9,8945,2,3,1,5,0,0,0,0
PSMC6,7479,3582,3644,3135,3535,3269,3088,2777,3054
GNPNAT1,4010,2288,2467,1658,2231,1703,1562,1488,1577
DDHD1,18377,938,981,668,909,914,847,797,864
CDKN3,1836,840,919,795,829,229,199,251,240
CNIH1,5019,4749,4697,3833,4602,2542,2414,2429,2544
CGRRF1,4547,423,412,383,437,318,349,314,316
ATP6V1D,4247,2554,2600,2412,2625,3307,3226,2960,3018
PLEK2,1569,1699,1791,1678,1909,1742,1584,1432,1609
PIGH,2907,341,393,335,374,346,363,254,296
LRRC74A,2305,1,4,0,0,0,2,2,0
PSMA3,3107,4058,4364,3749,4190,6270,6224,5615,5878
VTI1B,5768,3545,3677,2923,3598,2268,2167,2017,2242
TIMM9,1416,738,850,686,719,445,436,411,404
GSTZ1,8365,294,315,302,272,402,318,295,376
KIAA0586,17733,1215,1475,925,1300,704,680,664,687
TMED8,7761,1769,1949,1209,1740,1340,1318,1243,1233
SAMD15,2616,60,63,39,72,73,64,49,69
AHSA1,2944,4112,4377,3685,4152,4277,3997,3629,3905
DAAM1,10712,2528,2667,1887,2463,2821,2710,2332,2654
ISM2,4097,1,1,3,1,0,0,1,0
SPTLC2,9007,7654,8464,5521,7687,7196,7144,6340,6960
RIN3,8676,2020,2019,1480,1911,935,794,829,918
LGMN,3876,3338,3394,2725,3414,15775,14626,12793,12484
ALKBH1,2847,475,465,422,468,492,477,362,461
SNW1,2432,4028,4131,3369,4035,3471,3279,3025,3247
CHGA,3024,15,3,3,4,121,85,66,81
ITPK1,6790,3650,3693,3122,3875,1653,1527,1453,1471
DHRS7,3249,1521,1598,1254,1541,2139,2007,1779,1997
PPM1A,11907,1954,2068,1547,1946,1732,1640,1508,1657
SIX4,6771,228,231,143,233,245,219,221,228
GALNT16,11462,85,86,79,100,28,31,40,29
ASB2,4975,0,1,3,0,8,5,7,5
CEP128,9353,688,798,521,728,335,342,303,321
ERH,1113,5767,5770,5336,5647,4631,5140,4824,4936
HIF1A,5151,18197,17189,11983,16574,23906,23313,20858,22087
SUSD6,5832,2247,2331,1584,2034,5098,4529,4169,4111
SRSF5,5357,8410,8361,6719,8090,10624,7221,6914,7648
SLC10A1,2002,0,2,5,0,0,1,2,0
EIF5,8318,14594,15070,11648,14960,13415,12598,12115,12986
SLC8A3,8446,0,0,0,0,10,9,6,5
DICER1,12680,3195,3690,1990,3273,2919,2755,2495,2819
ZFYVE21,8390,2190,2292,1956,2325,1767,1371,1399,1550
MTHFD1,12208,4913,5185,3836,5172,3049,2716,2621,2666
TCL1A,2256,0,0,0,0,2,0,0,0
ZC3H14,20998,3029,3086,2319,2915,2560,2277,2008,2154
TELO2,4239,2994,2835,2398,3027,2728,1845,1820,1982
PCNX1,16715,2756,3220,1574,2607,2111,2141,1900,1874
GSKIP,4567,1436,1358,1130,1355,973,963,957,1030
VRK1,31679,1270,1226,1065,1244,782,709,623,712
PSMC1,6129,4236,4427,3558,4248,4358,4091,3772,4046
PAPLN,7699,44,53,45,32,4670,3475,2956,3651
RPS6KA5,27982,417,482,363,433,232,207,222,262
PPP4R3A,6015,3945,4017,3160,3826,3192,2994,2834,2938
C14orf93,4257,270,278,240,250,164,148,147,150
PSMB5,1549,6139,6292,5604,6120,4479,4171,3861,4073
YY1,8557,6636,6635,5033,6649,4865,4285,4043,4529
ACIN1,9110,11393,11631,9240,11014,12322,9461,8837,9584
CCNB1IP1,3680,1020,1077,866,1007,505,490,423,507
TRIP11,10372,3176,3714,2265,3383,3363,3177,2848,3027
APEX1,1886,9301,9609,8226,9129,4630,4169,4066,4480
PABPN1,3686,2331,2166,1693,2162,2091,1281,1355,1371
ARHGAP5,10888,2129,2409,1309,2229,2760,2871,2636,2751
CINP,5344,1665,1743,1470,1612,986,1011,897,1021
DHRS2,7527,8,21,20,14,14,6,25,23
SRP54,8477,3551,3580,2849,3498,4377,4079,3879,3886
CPNE6,5996,0,1,0,0,0,0,0,0
CHD8,20953,4606,5211,3394,4577,5403,5412,4602,4853
PCK2,4177,435,371,367,530,2453,1981,1965,2246
PRORP,6990,424,392,276,385,483,385,346,410
DCAF11,6350,2372,2410,1821,2353,1792,1471,1473,1639
PSMA6,6506,448,395,349,403,645,621,556,630
NFKBIA,2371,3741,3355,2692,3226,18916,16719,15343,16529
EMC9,1591,514,539,474,498,414,399,348,386
PSME2,3582,3093,3129,3033,3153,12031,11563,10483,11194
BRMS1L,3877,695,686,533,700,451,470,456,410
REC8,3844,133,110,114,98,466,243,220,254
TM9SF1,3530,731,679,573,697,785,758,662,687
SEC23A,8660,8442,8451,6115,8312,7277,7169,6494,7111
GMPR2,3619,3370,3348,2759,3068,2597,2270,2184,2432
PNN,4203,7231,7184,5344,6943,6382,4402,4400,4696
RABGGTA,3417,899,909,827,893,1750,1397,1186,1296
NFATC4,8437,19,24,31,25,78,45,44,53
PLTP,2541,839,941,754,927,2830,2535,2437,2685
PCIF1,3164,1783,1768,1444,1764,1459,1207,1085,1159
GSS,6166,2918,2951,2485,2972,3173,2781,2503,2756
MMP9,2336,3,6,4,2,397,364,325,405
VSX1,3598,0,0,0,0,0,0,2,0
TRPC4AP,3162,8853,8797,7112,8819,10143,9060,8450,9044
PYGB,4456,11364,11622,9288,11542,7620,6775,6321,7159
ABHD12,4479,3254,3216,2567,3214,3181,2795,2498,2623
PROCR,1697,16745,16339,14256,16052,8014,7571,6980,7073
GINS1,4130,1874,1984,1538,1974,1030,950,950,963
NINL,6030,1076,1098,841,976,763,558,559,596
CD40,2521,490,507,391,532,2472,2064,1975,2096
UQCC1,6672,2130,2118,1682,2122,1889,1462,1393,1502
ZMYND8,7625,4214,4519,3193,4170,3241,3043,2788,3102
SGK2,5140,6,5,3,2,1,1,0,3
IFT52,2539,2088,2101,1812,2098,1344,1275,1292,1287
MYBL2,2776,5098,4944,4403,5134,1791,1530,1433,1710
NDRG3,3260,3140,3326,2596,3153,2099,2060,1710,1936
SLA2,2737,5,6,3,4,8,6,5,2
RAB5IF,1504,1514,1539,1330,1483,1508,1504,1330,1347
NFATC2,8286,6162,7056,4066,5740,1897,2003,1674,1971
RIMS4,5414,0,0,1,0,0,0,0,0
PABPC1L,5050,221,166,170,219,878,408,400,487
STK4,9132,2113,2169,1461,2128,2686,2399,2194,2397
SALL4,5773,5,4,9,6,21,19,14,15
ADNP,8482,5540,5775,4076,5281,3535,3584,3168,3472
PFDN4,1743,1822,1774,1577,1723,1542,1534,1477,1558
DOK5,2606,3980,3823,3083,3638,2364,2222,2115,2178
CSTF1,4793,2230,2120,1854,2262,1638,1583,1390,1554
RAE1,5642,2143,2118,1805,2123,1933,1820,1589,1857
TPD52L2,4694,11346,11571,9697,11731,11317,9887,9574,10266
DNAJC5,5343,10137,9891,7891,10068,10198,9620,9024,9432
NELFCD,6298,3,0,0,4,4,4,1,3
CTSZ,19384,42067,42458,38376,40897,30403,27028,25292,27227
PRPF6,3047,8534,8834,7490,8592,6516,5830,5219,5903
TUBB1,3321,35,26,20,21,26,14,16,18
PRELID3B,2877,4105,4182,3725,4175,4066,3893,3871,4067
MTG2,5450,1330,1293,1131,1341,1618,1305,1267,1350
PSMA7,1752,11500,11985,11175,12023,10720,10311,9736,10560
SLCO4A1,3991,1444,1272,996,1212,5334,4427,3939,4148
NTSR1,4238,3683,3986,3342,3824,878,809,754,836
MRGBP,2752,1783,1763,1627,1739,1946,1574,1547,1674
TCFL5,3605,1555,1605,1335,1531,1148,957,878,1043
DIDO1,13283,5551,5840,3974,5325,4717,4289,3864,4183
GID8,4594,3839,3817,3083,3791,2533,2544,2304,2449
SLC17A9,5461,231,188,181,232,1043,555,505,553
NKAIN4,2591,2,0,4,2,6,3,0,4
ARFGAP1,6610,6309,5904,5210,6081,8849,6341,5815,6461
COL20A1,10974,0,0,0,0,0,0,1,0
CHRNA4,11897,6,0,0,0,0,0,0,0
EEF1A2,4826,2,2,1,0,0,7,2,1
PTK6,2953,4,4,3,2,14,4,12,7
GMEB2,4767,1286,1295,1073,1276,1057,975,862,859
C20orf27,1809,1977,1964,1821,2054,862,736,715,777
SPEF1,1925,12,7,10,12,8,14,8,11
CDC25B,3903,11503,11361,9020,11197,12677,9916,9162,9352
ISM1,3090,1,0,2,0,3,0,3,3
RNF24,7644,1200,1209,826,1133,1628,1513,1418,1393
ARFRP1,7627,3916,3958,3488,4032,5393,4067,3855,4186
NDUFAF5,7158,588,569,535,546,449,435,442,424
SEL1L2,3887,0,0,0,0,0,1,0,0
TRIB3,3291,3466,3449,3187,3631,4458,4121,3609,4318
RASSF2,5722,10264,10157,7349,9435,7161,6900,6310,6947
CSNK2A1,29523,10387,10946,8022,10346,9575,8850,8359,9141
SLC52A3,5984,0,0,2,1,3,2,0,4
ANGPT4,4692,0,3,3,2,4,0,7,1
RSPO4,2757,0,0,0,0,0,1,0,0
CDS2,11800,5715,6447,4310,5688,3807,3915,3451,3772
HM13,8766,8988,8759,7767,8876,9426,9050,8441,8977
SNPH,5709,2294,2167,1750,2172,1525,1301,1154,1347
MYLK2,2976,22,36,28,23,3,0,1,8
SIRPB1,8227,94,118,86,109,169,160,148,155
SEC23B,4347,2807,2977,2217,2887,4100,4003,3544,3764
FERMT1,4845,279,236,209,255,350,247,296,287
HAO1,1757,0,0,1,0,3,1,3,2
CCM2L,2599,1237,1298,1053,1216,149,130,114,164
PLCB4,6867,1,2,1,0,2,8,9,2
MYL9,2808,4223,4253,4073,4328,2284,2185,2158,2460
HCK,3083,12,5,7,3,9,7,10,21
TM9SF4,5207,5313,5378,4085,5327,5946,5631,5160,5304
TLDC2,2553,16,17,13,11,58,67,46,60
CRNKL1,4567,2544,2513,1893,2506,2417,2431,2108,2350
POFUT1,6417,6327,6779,5238,6760,5279,4766,4790,5012
SAMHD1,10835,8900,9474,7059,8863,50582,48070,44486,44610
KIF3B,6116,6302,6668,4570,6221,5057,4677,4365,4942
MROH8,3877,42,48,49,37,32,21,37,39
NOP56,4950,7045,7146,6451,7209,5682,4660,4159,4673
MANBAL,2034,2721,2743,2451,2638,2365,2251,2188,2252
IDH3B,2567,3820,3776,3326,3739,3179,2695,2547,2844
MAPRE1,2562,12156,12569,9925,12473,10733,10072,9446,10089
JAG1,9298,3637,3868,2497,3891,12578,12245,11581,12820
CDK5RAP1,4567,1352,1355,1167,1449,1330,1072,1113,1073
SNTA1,2211,355,423,402,469,219,181,175,233
OXT,513,0,0,3,1,2,5,0,6
TTI1,4472,1948,2167,1554,1945,1759,1644,1435,1559
E2F1,2690,1780,1714,1666,1833,784,643,568,611
RPRD1B,5330,1754,1940,1294,1933,1645,1524,1493,1688
PXMP4,5719,623,687,523,667,393,341,314,316
CHMP4B,1602,11720,11947,10674,11239,13973,12873,12121,12901
BPI,2484,0,0,0,0,1,0,0,0
CST9L,694,0,0,1,0,0,0,0,0
SLC32A1,2550,0,0,0,0,0,1,0,0
CST3,3615,13318,13204,12717,13482,19385,17551,17324,17428
ASIP,845,0,4,0,2,2,2,5,4
CST4,749,9,18,16,18,96,77,89,89
ACTR5,2547,752,673,623,694,573,417,429,466
WFDC2,1335,0,0,1,1,0,0,0,0
AHCY,3894,7331,7415,6121,7260,3562,3025,3078,3557
PPP1R16B,6408,15526,15875,10860,14716,5063,4769,4400,4958
FAM83D,2475,3082,2979,2509,3246,1049,783,918,1034
DHX35,4998,820,787,622,791,689,643,547,576
DNTTIP1,1866,1603,1682,1457,1611,1503,1420,1399,1591
MAP1LC3A,1152,1252,1272,1155,1268,2034,1547,1533,1763
PIGU,2707,1180,1068,1044,1099,869,814,710,713
TNNC2,847,2,2,1,5,6,3,2,6
ACOT8,4354,828,759,682,809,741,507,552,639
APMAP,2226,8048,7750,6483,7840,6979,6244,5992,6496
CELF4,6329,6,3,0,1,0,2,0,0
ZNF516,8777,265,283,198,245,317,295,222,239
CDH20,4277,32,25,27,32,13,13,6,6
ADNP2,5657,1348,1472,1031,1494,1383,1350,1263,1262
RBFA,7945,761,754,672,754,529,507,455,497
USP14,5987,6145,6523,5004,6181,5241,5145,4871,5092
VAPA,11866,7499,8117,6668,7689,5780,5559,5309,5478
METTL4,5724,663,676,473,606,584,533,526,556
LPIN2,6629,3343,3344,2271,3076,2092,1941,1758,1907
SMCHD1,12447,3522,3854,2354,3577,4433,4187,3696,3871
MYOM1,6434,13,14,10,6,25,17,17,16
MYL12A,3032,19669,19514,18090,19689,23676,23149,21395,23547
CEP76,6165,464,526,369,492,353,323,329,340
ST8SIA5,15673,2,0,1,0,0,0,0,1
CEP192,9901,1445,1552,970,1573,1042,971,888,893
RNMT,6980,2039,1933,1297,1918,1431,1336,1195,1315
SMAD7,3946,396,452,347,483,76,43,70,66
LIPG,13089,6538,6780,5249,6754,87625,80502,73803,76832
LAMA1,15857,0,0,0,7,0,1,3,1
RNF125,6061,233,255,199,226,10,9,13,21
ANKRD12,12248,3000,3234,2731,2938,3700,3364,3086,3644
NOL4,6468,0,0,0,2,0,0,0,0
POLI,9358,650,711,457,617,811,710,670,691
MIB1,10557,4188,4819,2546,4289,2690,2645,2405,2623
RBBP8,5078,1105,1218,1032,1208,448,428,415,452
RIOK3,4856,3794,4015,3006,3836,3617,3356,3147,3441
CSTF2,2775,1295,1307,1136,1290,1084,993,837,996
MXRA5,9804,0,0,0,0,0,2,0,0
VSIG1,3769,97,130,82,98,126,120,102,98
PSMD10,2390,4525,4701,4111,4574,2930,2806,2746,2919
ATG4A,2927,2232,2184,1914,2180,1289,1189,1146,1198
STS,12342,1963,2159,1429,1907,1873,1838,1698,1837
TBL1X,13858,3783,4107,3032,3887,2313,2088,1980,2123
GPR143,2369,153,166,121,151,154,139,122,136
PGRMC1,1919,5285,5444,4496,5185,2532,2403,2275,2480
POLA1,15547,1639,1684,1073,1633,685,702,625,680
MID1,9450,2852,2944,1762,2657,1534,1507,1351,1441
NKAP,7873,874,840,708,768,698,637,566,506
RHOXF1,747,0,0,0,1,0,0,0,0
NXT2,3104,436,375,333,490,350,378,318,321
GUCY2F,3728,1,0,0,3,3,4,0,5
ATP1B4,4773,0,0,3,0,0,0,0,0
ALG13,8188,966,1009,784,987,1090,964,830,965
PRPS2,2758,1188,1144,958,1219,1212,1087,1091,1044
TLR8,4353,3,1,4,4,1,2,4,0
MOSPD1,2659,1010,880,820,952,731,707,647,674
AMMECR1,6714,563,567,388,621,680,645,526,563
WDR13,7872,3580,3547,3097,3572,3547,2696,2439,2940
