Feature_gene_name,Feature_length,NoTreat_1,NoTreat_2,NoTreat_3,NoTreat_4,Treat_1,Treat_2,Treat_3,Treat_4
UQCRQ,2218,1493,1459,1506,1373,770,837,767,949
LEAP2,1283,7,7,11,10,5,6,6,0
GJB7,2727,0,0,0,1,1,2,0,0
SLC35A1,1994,430,459,368,428,350,374,291,295
GRIK2,26797,0,0,0,2,0,1,0,0
CGAS,4174,350,364,301,369,1099,951,828,960
TLX3,1534,0,0,0,0,0,2,0,0
TXLNB,4796,52,45,44,53,119,74,81,99
CITED2,2563,2100,2032,1833,2082,2109,1882,1769,1929
CALHM4,1932,3,1,3,5,3,0,1,0
CREBRF,12333,921,1132,615,1015,1775,1632,1496,1467
DCBLD1,6819,2693,2703,2105,2595,2020,1982,1877,1754
SFXN1,7407,3083,3087,2606,2989,1815,1773,1611,1755
SAMD3,6900,14,19,15,25,2,5,0,12
TMEM200A,5858,1365,1489,1042,1398,381,391,367,436
PDSS2,3921,578,637,504,615,470,380,413,475
STXBP5,10504,1740,1873,1142,1674,1542,1563,1284,1491
IL31RA,11428,88,84,65,94,29,35,22,21
ANKRD55,2948,943,993,794,944,2496,2360,2090,2238
RAET1E,3004,63,82,79,54,26,30,32,34
PI16,2305,30,49,36,50,11,2,5,10
TBX20,1828,218,286,117,293,315,334,275,271
DAGLB,5715,1009,947,788,939,712,669,565,611
KIAA0895,6797,251,193,163,223,230,174,181,154
STK17A,5683,3998,4142,3483,3903,1832,1949,1701,1900
TRA2A,3516,3332,3550,2888,3330,3665,3197,3062,3331
GALNT10,10496,7502,7688,5457,7144,2486,2301,2217,2483
SAP30L,6714,2828,2958,2032,2613,2086,1915,1817,1887
RPS14,5082,29301,29241,27107,28675,12817,14374,13603,14749
HCN1,13755,1,0,0,0,0,1,0,0
MYOZ3,5861,57,77,38,44,26,28,15,25
COG5,8397,2663,2761,1928,2574,3146,3092,2802,3019
BMT2,4097,695,704,545,689,533,464,463,495
GPR85,7582,14,19,16,18,14,8,9,8
SLU7,4769,2195,2335,1856,2198,2343,2081,1952,2096
RP9,5745,496,596,452,472,365,297,317,310
PTTG1,1975,1756,1912,1804,1889,797,668,763,797
CAMLG,7414,2712,2606,2302,2577,1680,1520,1395,1546
BMPER,7990,299,324,252,406,1856,1735,1545,1601
RELL2,2583,250,279,188,249,555,415,358,428
KCNK5,3783,0,0,0,0,0,0,1,0
KIF6,11871,5,4,1,1,6,4,0,4
ZNF12,5321,1170,1321,814,1250,1133,984,901,958
SLC29A4,5840,120,165,126,134,72,32,53,46
STEAP1,1544,231,235,188,261,1007,917,898,895
CDCA7L,3894,3596,3809,2885,3816,1808,1754,1591,1789
MIOS,6714,1086,1096,911,1105,820,810,787,762
ELAPOR2,8070,1226,1290,882,1190,1087,1105,1098,1085
USP49,10935,202,242,176,242,194,192,149,199
SYTL3,2896,166,184,117,176,939,790,767,773
IQUB,6100,6,5,1,10,8,6,7,8
HEY1,5487,113,103,88,105,526,458,460,443
ZNF704,15008,22,23,21,17,5,4,7,1
FABP5,1904,2750,2541,2508,2495,510,650,660,623
SHH,5234,0,1,0,2,7,5,5,3
TAGAP,4089,20,16,13,13,19,11,10,7
COL1A2,10817,678,660,502,626,571,513,477,447
FNDC1,6850,0,2,0,0,0,0,2,0
CHMP4C,1852,5,3,4,5,0,0,0,0
SLC13A4,8021,29,38,17,31,42,14,13,21
BRI3,5139,5185,5239,4826,5137,7313,7084,6339,6597
LMTK2,9167,1530,1661,1044,1600,1608,1529,1410,1440
CTSB,10541,41095,41830,35378,41537,80059,75810,69760,74931
SOX17,2346,1789,1578,1576,1693,3479,3143,2919,2932
DLC1,12794,7126,7740,4968,6834,4852,4835,4301,4654
ADCY1,13966,98,159,85,111,0,6,6,4
C8orf48,1420,86,123,79,107,126,110,91,95
SUN3,1732,0,0,0,0,6,0,0,1
C7orf57,2275,16,14,21,14,16,6,15,18
HNF4G,4797,0,0,0,0,1,0,0,0
PEX2,4969,896,1001,783,941,634,645,581,646
RAD21,6103,9632,9882,7455,9542,7632,7336,6525,7361
SLC30A8,6279,0,0,0,0,0,0,0,2
MED30,1440,329,351,353,264,322,295,299,295
TNFRSF11B,2512,187,150,116,173,3053,3420,2779,2822
SBSPON,4280,10,17,5,11,10,9,8,7
PHKG1,2762,28,21,10,20,29,17,13,19
EN2,3395,0,0,0,3,0,0,0,0
CSMD3,20407,2,0,0,2,0,2,0,0
SPIDR,7174,1961,1854,1536,1914,1831,1571,1421,1604
ORC5,3724,847,878,740,841,604,542,515,673
DEFA5,454,0,0,0,2,0,0,0,0
DNAAF5,7139,2473,2577,2033,2612,1560,1604,1267,1480
OSGIN2,4655,1395,1319,1047,1407,6224,6221,5559,5607
SUN1,11850,13721,13494,9956,13095,7066,5936,5822,6233
OXR1,8501,1958,2200,1416,2068,1488,1361,1289,1419
TMEM74,7419,6,12,9,6,2,3,3,5
GPR146,3190,28,46,24,55,21,25,28,30
GPER1,3123,77,68,31,44,32,37,27,26
TMEM184A,7612,4,2,1,4,0,4,0,3
NOS3,5931,8624,9151,6887,8781,1494,1140,1046,1362
MICALL2,8811,1714,1629,1381,1653,2325,1310,1215,1463
CA3,2279,1,3,2,5,7,0,2,4
INTS1,9084,7636,7591,6187,7445,6417,5417,4981,5608
CDK5,2302,722,830,673,729,496,473,485,487
SLC4A2,7570,5610,5309,4413,5467,6686,5309,5072,5366
SLC7A13,2235,0,0,0,1,0,0,0,0
FASTK,3805,3123,2984,2733,3062,3323,2304,2253,2548
TMUB1,1963,1426,1436,1383,1437,1436,1139,1160,1239
FMC1,1328,65,59,56,54,28,30,27,30
GBX1,2193,0,0,0,1,0,0,0,0
PHAX,3662,3082,2830,2474,2853,2464,2322,2212,2394
ALDH7A1,17914,3004,3291,2741,3143,1710,1530,1515,1760
FOXK1,13106,2709,3329,1962,2684,2385,2300,2038,2324
COX6C,2712,2280,2401,2106,2405,1939,1731,1693,1777
OSR2,2930,2,0,1,4,0,0,0,0
YWHAZ,8557,43743,45726,34885,44470,35201,32433,31900,33972
BAALC,3994,235,232,236,278,37,14,17,21
FZD6,4065,4257,4240,3020,4152,4925,4624,4470,4917
CTHRC1,1745,3203,3142,2924,3094,18923,18404,17560,18159
SLC25A32,3654,84,76,45,101,97,71,51,59
DCAF13,9199,2523,2679,2171,2564,1772,1670,1590,1687
DCSTAMP,2778,0,0,0,0,0,0,0,2
TP53INP1,5643,3408,3559,2328,3328,1232,1157,1222,1292
INTS8,7866,2086,2264,1699,2186,1860,1649,1572,1625
VIRMA,10775,4038,4457,3049,4194,3223,3374,2799,3153
FREM1,8274,3,1,7,2,1,4,1,4
GEM,2648,21,44,25,25,26,10,15,19
PDP1,5604,2668,2675,1912,2758,5407,5220,4853,4951
TMEM67,11732,590,623,474,619,571,487,431,526
WASHC5,4763,3512,3621,2489,3388,3423,3249,3023,3286
RPP25L,1092,403,416,372,410,325,307,279,262
FAM219A,3782,3381,3329,2583,3296,3551,2773,2617,2815
C9orf24,1417,15,11,5,5,10,2,7,14
SNAPC3,6684,2289,2436,1768,2417,2585,2308,2264,2297
